Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.670880,0.762298,0.670880,0.604970,631.03,2.76,111.96
2,0.753211,0.752651,0.753211,0.667486,606.27,2.76,107.25
3,0.753348,0.769062,0.753348,0.667438,627.40,2.76,111.29
4,0.753038,0.740305,0.753038,0.666603,628.15,2.76,111.65
5,0.755915,0.793280,0.755915,0.672590,610.83,2.76,108.27
6,0.756938,0.789382,0.756938,0.674926,632.94,2.76,112.33
7,0.754735,0.805863,0.754735,0.670287,627.70,2.76,111.62
8,0.755997,0.841856,0.755997,0.672658,623.88,2.76,110.88
9,0.757078,0.848502,0.757078,0.674973,611.02,2.76,108.30
10,0.756193,0.847406,0.756193,0.673013,628.66,2.76,111.69
11,0.754977,0.843956,0.754977,0.670467,625.26,2.76,111.12
12,0.756411,0.833627,0.756411,0.673393,613.44,2.76,109.11
13,0.755747,0.845604,0.755747,0.672345,622.72,2.76,110.75
14,0.756821,0.847191,0.756821,0.674240,622.89,2.76,110.63
15,0.755545,0.849321,0.755545,0.671636,626.48,2.76,111.44
16,0.752549,0.844418,0.752549,0.665005,610.97,2.76,108.11
17,0.754570,0.847445,0.754570,0.669582,627.62,2.76,111.57
18,0.753903,0.851676,0.753903,0.668054,626.59,2.76,111.57
19,0.754217,0.850534,0.754217,0.668836,615.55,2.76,109.19
20,0.754991,0.855328,0.754991,0.670452,612.96,2.76,108.45
21,0.753054,0.852896,0.753054,0.666253,625.65,2.76,111.13
22,0.754352,0.850566,0.754352,0.669032,625.21,2.76,111.14
23,0.754877,0.844892,0.754877,0.670266,612.56,2.76,108.57
24,0.756972,0.850323,0.756972,0.674632,631.90,2.76,112.51
25,0.754120,0.847808,0.754120,0.668480,629.86,2.76,111.98
26,0.754116,0.845301,0.754116,0.668569,632.56,2.76,112.46
27,0.756616,0.846425,0.756616,0.673935,600.62,2.76,107.59
28,0.756644,0.844769,0.756644,0.673599,595.35,2.76,104.79
29,0.755487,0.846002,0.755487,0.671476,627.76,2.76,111.42
30,0.752199,0.833219,0.752199,0.664257,615.81,2.76,109.46

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.755012,0.001684
precision,0.843143,0.004995
recall,0.755012,0.001684
f1,0.670367,0.003605
comm_mb,2.759132,0.000000
model_size_mb,0.28,
client_samples,958587.2,540207.9
