Round,Accuracy,Precision,Recall,F1,Training_Time_Sec,Avg_Client_Time_Sec,Communication_Time_Sec,Upload_MB,Download_MB,Total_Comm_MB,Total_Params,Trainable_Params,Model_Size_MB,FLOPs,FLOPs_Formatted,Memory_Access_MB,CPU_Memory_MB,GPU_Memory_MB
38,0.997160,0.997159,0.997160,0.997159,941.88,183.26,0.0300,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.42,27.56
39,0.997541,0.997550,0.997541,0.997543,941.94,183.86,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
40,0.997505,0.997514,0.997505,0.997508,936.55,182.27,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.88,27.56
41,0.997507,0.997515,0.997507,0.997509,926.02,180.09,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.86,27.56
42,0.997335,0.997346,0.997335,0.997339,938.82,182.80,0.0120,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.86,27.56
43,0.997585,0.997588,0.997585,0.997586,936.93,182.24,0.0180,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
44,0.997560,0.997568,0.997560,0.997562,931.81,181.33,0.0140,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.88,27.56
45,0.997526,0.997534,0.997526,0.997529,925.01,180.56,0.0260,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.84,27.56
46,0.996911,0.996934,0.996911,0.996917,934.01,181.65,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4534.85,27.56
47,0.996890,0.996887,0.996890,0.996887,928.84,180.94,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4535.39,27.56
48,0.997636,0.997645,0.997636,0.997639,936.93,182.26,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.39,27.56
49,0.997452,0.997460,0.997452,0.997455,925.61,180.03,0.0130,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.39,27.56
50,0.997532,0.997543,0.997532,0.997535,924.78,179.91,0.0160,4.04,4.04,8.07,211650,211650,0.81,2050195456.0,2.050G,0.42,4540.45,27.56
FINAL SUMMARY (Mean +/- Std)
Metric,Mean,Std
Accuracy,0.993595,0.021266
Precision,0.994000,0.018521
Recall,0.993595,0.021266
F1,0.992770,0.027025
Communication_Time_Sec,0.018840,0.007575
Communication_Data_MB,8.07,0.00
Model_Transfer_Size_MB,0.81,
Client_Samples,307081.4,302780.2
