Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.921023,0.848284,0.921023,0.883159,1061.96,20.83,0.00
2,0.975898,0.976889,0.975898,0.976296,1062.54,20.83,0.00
3,0.997755,0.997760,0.997755,0.997741,1062.97,20.83,0.00
4,0.997735,0.997740,0.997735,0.997720,1044.64,20.83,0.00
5,0.996985,0.996993,0.996985,0.996960,1061.75,20.83,0.00
6,0.995506,0.995547,0.995506,0.995522,1047.91,20.83,0.00
7,0.999631,0.999631,0.999631,0.999631,1046.00,20.83,0.00
8,0.999795,0.999795,0.999795,0.999795,1061.19,20.83,0.00
9,0.999828,0.999828,0.999828,0.999828,1046.68,20.83,0.00
10,0.999374,0.999374,0.999374,0.999373,1048.00,20.83,0.00
11,0.999780,0.999780,0.999780,0.999780,1047.21,20.83,0.00
12,0.997776,0.997781,0.997776,0.997762,1060.94,20.83,0.00
13,0.999507,0.999508,0.999507,0.999507,1046.41,20.83,0.00
14,0.999549,0.999549,0.999549,0.999548,1047.16,20.83,0.00
15,0.999752,0.999752,0.999752,0.999752,1045.78,20.83,0.00
16,0.999788,0.999788,0.999788,0.999788,1059.20,20.83,0.00
17,0.997750,0.997755,0.997750,0.997735,1046.26,20.83,0.00
18,0.997533,0.997538,0.997533,0.997515,1045.66,20.83,0.00
19,0.999295,0.999296,0.999295,0.999294,1045.18,20.83,0.00
20,0.999862,0.999862,0.999862,0.999862,1060.86,20.83,0.00
21,0.999856,0.999856,0.999856,0.999856,1045.41,20.83,0.00
22,0.997639,0.997645,0.997639,0.997622,1046.67,20.83,0.00
23,0.997697,0.997703,0.997697,0.997681,1046.94,20.83,0.00
24,0.991375,0.991287,0.991375,0.991250,1061.61,20.83,0.00
25,0.998614,0.998616,0.998614,0.998608,1045.38,20.83,0.00
26,0.999288,0.999288,0.999288,0.999286,1047.30,20.83,0.00
27,0.999897,0.999897,0.999897,0.999897,1047.35,20.83,0.00
28,0.420900,0.884527,0.420900,0.524220,1060.37,20.83,0.00
29,0.997865,0.997869,0.997865,0.997851,1045.63,20.83,0.00
30,0.997568,0.997574,0.997568,0.997551,1046.14,20.83,0.00
