Round,Accuracy,Precision,Recall,F1,Round_Time_Sec,Comm_MB,Avg_Client_Time_Sec
1,0.234709,0.111609,0.234709,0.123709,625.10,4.83,109.79
2,0.562085,0.474759,0.562085,0.464892,634.65,4.83,112.20
3,0.607474,0.477274,0.607474,0.509332,634.00,4.83,111.84
4,0.608088,0.690961,0.608088,0.512713,625.09,4.83,110.16
5,0.597680,0.713209,0.597680,0.503493,635.68,4.83,112.25
6,0.656277,0.682522,0.656277,0.583253,630.85,4.83,111.30
7,0.749129,0.716086,0.749129,0.698299,617.06,4.83,108.97
8,0.838804,0.881752,0.838804,0.787912,633.99,4.83,112.24
9,0.757623,0.877179,0.757623,0.707599,630.99,4.83,111.37
10,0.841915,0.923738,0.841915,0.791032,628.25,4.83,110.69
11,0.839813,0.913818,0.839813,0.788982,641.70,4.83,113.44
12,0.842094,0.900700,0.842094,0.791286,630.39,4.83,111.47
13,0.652584,0.846117,0.652584,0.564784,628.71,4.83,110.66
14,0.777197,0.860699,0.777197,0.727825,638.83,4.83,113.04
15,0.737999,0.847277,0.737999,0.686219,637.28,4.83,112.67
16,0.809314,0.865120,0.809314,0.759300,628.46,4.83,110.93
17,0.842172,0.893101,0.842172,0.791410,636.19,4.83,112.44
18,0.680291,0.839463,0.680291,0.611840,635.85,4.83,112.43
19,0.729591,0.852748,0.729591,0.676972,622.18,4.83,109.48
20,0.706473,0.844012,0.706473,0.648666,637.86,4.83,113.00
21,0.842197,0.905562,0.842197,0.791447,629.94,4.83,111.44
22,0.842206,0.903364,0.842206,0.791447,619.69,4.83,109.43
23,0.710890,0.853126,0.710890,0.654934,636.74,4.83,112.70
24,0.841345,0.894503,0.841345,0.790609,638.45,4.83,112.72
25,0.791437,0.861312,0.791437,0.741945,623.55,4.83,110.13
26,0.842020,0.910459,0.842020,0.791268,640.06,4.83,113.25
27,0.842033,0.899247,0.842033,0.791289,630.20,4.83,111.61
28,0.665354,0.834029,0.665354,0.589926,622.09,4.83,109.82
29,0.842079,0.899842,0.842079,0.791338,635.61,4.83,112.26
30,0.842045,0.898848,0.842045,0.791304,628.10,4.83,111.04

"FINAL SUMMARY (Mean +/- Std, last 5 rounds)"
Metric,Mean,Std
accuracy,0.806706,0.070676
precision,0.888485,0.027570
recall,0.806706,0.070676
f1,0.751025,0.080550
comm_mb,4.834328,0.000000
model_size_mb,0.48,
client_samples,958587.2,379658.1
